Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
HRV,0,0,0,0,57640,57730,57650,58030,58220,58690,61920,64740,67160,69500,71800,71110,70240,69370,68490,67580,66770,66090,65420,1228150
HTI,0,0,0,0,70,80,90,90,90,90,90,100,100,100,110,110,110,110,100,100,120,110,120,1890
HUN,28020,27920,27850,27820,27750,27420,26950,26520,26120,25640,25300,24950,24630,24340,24040,23730,23440,23180,22850,22420,22190,22040,21700,576820
IDN,37630,38890,40810,44290,49020,51420,53110,55810,58660,53090,57410,59620,60260,60250,60540,61940,65070,68570,71170,73060,74940,77030,81140,1353730
IMN,0,0,0,0,720,720,720,720,710,690,710,710,730,750,770,790,820,850,890,890,760,500,420,13870
IND,67340,69540,71890,75990,80480,83280,84730,86330,90680,98070,108270,119420,132790,148960,169720,204440,251200,307590,329500,337120,354130,374980,397180,4043630
IRL,0,0,0,0,53850,53600,53460,53470,53580,53640,53890,54390,55020,55700,56790,58450,62180,67990,70980,78620,90780,95880,93180,1215450
IRN,16920,17750,18290,18680,19260,19920,20440,20650,21360,22260,23090,24310,25370,26720,28110,30220,31790,34020,36470,39640,43320,47670,50370,636630
IRQ,0,0,0,0,16400,20280,22420,24380,26480,28480,30020,33860,35490,37100,39500,42070,44580,49000,51830,54980,56910,59980,63860,737620
ISL,0,0,0,0,400,470,510,550,560,590,610,630,670,670,670,690,690,710,700,710,700,700,730,11960
ISR,7420,7290,7150,7120,7110,7090,7230,7330,7380,7510,7760,8100,8440,8950,9440,9890,10300,10500,10700,10840,11030,11270,11740,201590
ITA,261090,258370,255640,252950,250370,246410,242460,238330,234040,229850,227710,225360,222950,220550,218040,214970,211270,208130,204690,201690,199900,200180,201830,5226780
JAM,0,0,0,0,900,900,920,940,920,940,950,960,970,1000,1030,1050,1060,1070,1090,1150,1150,1170,1190,19360
JEY,0,0,0,0,1010,1020,1010,1010,1010,1000,1000,1040,1070,1120,1090,1120,1150,1200,1240,1300,1370,1450,1490,21700
JOR,0,0,0,0,2980,3210,3260,3390,3480,3620,3730,3870,4000,4160,4310,4520,4820,5070,5250,5440,5680,6020,6300,83110
JPN,20940,21470,22320,23750,25280,24690,24800,25010,25290,25690,27380,29190,31050,33110,35380,37840,39030,39850,40250,41390,43220,45970,54830,737730
KAZ,0,0,0,0,190,260,300,320,390,480,500,540,600,670,770,840,960,1080,1190,1310,1470,1600,1750,15220
KEN,0,0,0,0,6070,6250,6420,6880,7190,7630,8290,9140,9870,10850,11640,12700,13570,14540,15380,15870,16400,17080,17620,213390
KGZ,0,0,0,0,30,50,60,80,100,110,130,170,210,240,240,270,300,330,360,400,410,440,460,4390
KHM,19880,20210,21100,22600,24080,25120,25290,25210,24970,25100,25660,26430,26930,27610,28350,29100,29750,30600,31720,32510,33450,34200,35000,624870
KIR,0,0,0,0,410,430,450,450,440,430,450,460,480,490,490,500,530,560,610,600,600,620,640,9640
KOR,22830,24220,25830,27910,30470,31430,33010,34490,36180,38990,41510,44380,47210,51150,55950,64710,73780,81350,84150,85930,89710,95160,102220,1222570
KSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1120,1390,1410,1440,1440,7160
KWT,0,0,0,0,1740,1880,2050,2190,2510,2630,2710,2910,3040,3120,3320,3480,3660,3970,4320,4720,5230,5530,5720,64730
LAO,10750,10820,10840,10950,11030,10890,10730,10590,10460,10340,10390,10420,10470,10610,10670,10790,10890,11010,11110,11300,11420,11450,11520,249450
LBN,78820,78150,77670,77540,77670,78300,78660,78680,79070,79850,80970,82750,83690,84900,85940,87620,88760,89270,89640,90030,90810,91650,92220,1922660
LBR,0,0,0,0,90,110,130,120,120,130,280,470,540,1370,1600,2130,2360,2630,2930,3010,3150,3230,3330,27730
LBY,0,0,0,0,1290,1350,1390,1400,1410,1460,1480,1510,1550,1570,1620,1670,1770,1980,2360,2900,2900,2820,2690,35120
LCA,0,0,0,0,20,30,30,30,30,30,30,30,30,30,40,50,40,50,50,50,60,70,70,770
LIE,0,0,0,0,20,30,20,20,10,10,20,20,20,20,20,20,30,20,30,30,30,30,30,430
LKA,44930,46590,48400,50970,53880,55720,56610,57140,58210,60630,63500,66040,67780,70620,73820,78940,85610,92050,96480,99740,103920,108000,110520,1650100
LSO,0,0,0,0,60,60,60,60,60,60,80,80,90,90,100,100,100,120,120,120,120,130,150,1760
LTU,4650,4670,4660,4700,4700,4430,4210,4000,3850,3630,3560,3470,3380,3310,3210,3150,3110,3070,3090,3120,3150,3200,3250,85570
LUX,0,0,0,0,130,140,150,150,150,150,160,160,170,170,190,200,200,200,220,240,240,260,280,3560
LVA,9740,9610,9420,9300,9180,8730,8200,7770,7370,6990,6830,6650,6470,6310,6120,6000,5780,5680,5590,5460,5370,5240,5150,162960
MAC,0,0,0,0,1970,2050,2060,2100,2060,1960,2000,2050,2070,2090,2100,2210,2350,2470,2560,2610,2550,2530,2590,42380
MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,20,30,30,40,40,40,40,40,50,50,50,50,60,70,70,70,70,80,90,990
MDA,0,0,0,0,430,490,530,540,570,610,650,690,770,810,870,890,920,970,1000,1040,1090,1120,1170,15160
MDG,0,0,0,0,150,170,180,180,180,180,180,200,220,230,240,240,250,270,270,280,260,280,280,4240
MDV,0,0,0,0,170,140,140,150,170,170,210,220,240,280,320,320,360,390,420,440,470,510,560,5680
MEX,0,0,0,0,1030,1090,1160,1210,1270,1320,1380,1520,1630,1820,2150,2460,2820,3030,3410,3780,4190,4500,4960,44730
MHL,0,0,0,0,20,30,30,30,30,30,30,30,30,30,40,40,50,40,40,50,50,50,50,700
MLI,0,0,0,0,10,20,20,20,30,30,40,40,40,40,50,50,50,50,60,60,60,80,80,830
MLT,55260,55360,55510,55720,55980,55070,54210,53350,52610,51800,51710,51610,51490,51380,51160,50620,50040,49320,48660,47950,47300,46590,45920,1188620
MMR,9510,9690,10240,10970,11570,12130,12090,12100,12090,12180,12490,12700,12820,13330,14320,16230,18670,21180,23260,24430,26200,28090,29300,365590
MNE,0,0,0,0,5170,5200,5160,5300,5330,5330,5120,4840,4450,4030,1850,1900,1900,1910,1880,1850,1840,1840,1840,66740
MNG,0,0,0,0,140,130,120,110,120,120,150,180,200,240,300,310,420,610,700,780,840,950,1200,7620
MNP,0,0,0,0,0,0,0,0,0,0,10,10,10,20,10,10,10,20,20,20,20,20,10,190
MOZ,0,0,0,0,500,550,580,610,630,640,680,720,750,770,790,790,820,870,870,900,930,950,980,14330
MRT,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,570
MSR,0,0,0,0,0,10,0,10,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,220
MTQ,0,0,0,0,20,20,30,30,40,30,40,30,30,40,40,40,40,40,40,50,50,60,60,730
